# format: notyas-goldens/1
# One line per (frame, panel). Written only by `cargo run -p uisim -- approve`,
# which refuses to write while any frame draws off its panel or any declared
# screen state is missing. A diff here IS the approval record.
# columns: frame  panel  sha256[..8]  ink=x,y,w,h  px=<ink pixels>  reg=<count>:<digest>
backup-check/first-word            720x720   61985ed54d321d3d ink=0,0,720,688         px=375829   reg=6:15f62b76
backup-check/first-word            720x1280  a07fe568302a43f2 ink=0,0,720,1248        px=754549   reg=6:7feb3ff9
backup-check/first-word            800x480   dc12b9fb2c00d245 ink=0,0,800,446         px=256373   reg=6:6c93acaf
backup-check/first-word            800x1280  c1ed1c1d1f4ddd65 ink=0,0,800,1246        px=834989   reg=6:5b4b6a7e
backup-check/first-word            1024x600  39aea3e792c9b441 ink=0,0,1024,560        px=414645   reg=6:520cf26b
deliver/complete                   720x720   6527dcac5ef9728c ink=0,0,720,696         px=312926   reg=1:a77af90a
deliver/complete                   720x1280  9e1a8c20345ec001 ink=0,0,720,1256        px=324062   reg=1:0641c823
deliver/complete                   800x480   7ab4ff8796df6105 ink=0,0,800,454         px=308460   reg=1:1f77d928
deliver/complete                   800x1280  0ef668e821f85ad7 ink=0,0,800,1254        px=360581   reg=1:bb2e8402
deliver/complete                   1024x600  0cba59fb3b604057 ink=0,0,1024,568        px=418893   reg=1:97955810
deliver/discard-sheet              720x720   f96ce6867124d12b ink=24,24,681,672       px=91084    reg=2:22aa173b
deliver/discard-sheet              720x1280  e1ccf539b44a45d5 ink=24,24,681,1232      px=91084    reg=2:e14f36e5
deliver/discard-sheet              800x480   c8a08edd4f6a038e ink=26,26,748,428       px=93777    reg=2:0ce61901
deliver/discard-sheet              800x1280  b4527c5560f71f21 ink=26,26,748,1228      px=100929   reg=2:fec27d46
deliver/discard-sheet              1024x600  a8bd080a87feae85 ink=32,32,960,536       px=112115   reg=2:3859f032
deliver/no-card                    720x720   d02395ced6e763a0 ink=0,0,720,696         px=326376   reg=2:18afdfd0
deliver/no-card                    720x1280  e7ed81e8cd6294ff ink=0,0,720,1256        px=337416   reg=2:e57cb6ad
deliver/no-card                    800x480   e3f6749a0ad9f96d ink=0,0,800,454         px=219456   reg=2:5c03137b
deliver/no-card                    800x1280  546fda06fd5fcee3 ink=0,0,800,1254        px=373759   reg=2:7351c11a
deliver/no-card                    1024x600  66cd441ed2fb5608 ink=0,0,1024,568        px=415474   reg=2:655c30e6
deliver/overwrite-sheet            720x720   7a43c4065bf5cde4 ink=24,24,672,672       px=82476    reg=2:62bf605c
deliver/overwrite-sheet            720x1280  da2ea88d4210eb20 ink=24,24,672,1232      px=82476    reg=2:e2c0bcb7
deliver/overwrite-sheet            800x480   46135aa4a8adc684 ink=26,26,748,428       px=82404    reg=2:411b7766
deliver/overwrite-sheet            800x1280  662f381e40f096f5 ink=26,26,748,1228      px=86884    reg=2:3aadd1ef
deliver/overwrite-sheet            1024x600  88065ce132c791b8 ink=32,32,960,536       px=95260    reg=2:1b96ef90
deliver/partial                    720x720   195bc9141552e1ba ink=0,0,720,696         px=312909   reg=1:a77af90a
deliver/partial                    720x1280  d7e259abf288a8de ink=0,0,720,1256        px=324045   reg=1:0641c823
deliver/partial                    800x480   4c773ea568cec607 ink=0,0,800,454         px=308443   reg=1:1f77d928
deliver/partial                    800x1280  f8ac01a64437e686 ink=0,0,800,1254        px=360564   reg=1:bb2e8402
deliver/partial                    1024x600  be62caec54ceb003 ink=0,0,1024,568        px=418876   reg=1:97955810
deliver/write-failed               720x720   c116d17c37f66cf2 ink=0,0,720,696         px=327322   reg=2:18afdfd0
deliver/write-failed               720x1280  ac5deaa1aac8cd5c ink=0,0,720,1256        px=338362   reg=2:e57cb6ad
deliver/write-failed               800x480   17c969e336799222 ink=0,0,800,454         px=220402   reg=2:5c03137b
deliver/write-failed               800x1280  e300d2bcdb0e9713 ink=0,0,800,1254        px=374705   reg=2:7351c11a
deliver/write-failed               1024x600  354e88dcf4104ade ink=0,0,1024,568        px=416420   reg=2:655c30e6
deliver/written                    720x720   6c605d2bf99efe28 ink=0,0,720,696         px=320871   reg=2:f0090cea
deliver/written                    720x1280  52082d097fa4eda0 ink=0,0,720,1256        px=331911   reg=2:7a30af3b
deliver/written                    800x480   e507ed196684b13c ink=0,0,800,454         px=243943   reg=2:d832376d
deliver/written                    800x1280  798f4241c9aed45a ink=0,0,800,1254        px=368254   reg=2:14e20006
deliver/written                    1024x600  0c5a796d693fa884 ink=0,0,1024,568        px=409969   reg=2:e6209c45
